age,residence_type,address,education_level,job_type,number_years_at_job,marital_status,num_tickets_purchased,last_ticket_purchase_year,other_tickets_purchased,gym_membership_ind,prior_year_spend,prior_year_spend_external,primary_credit_card,last_activity_social,other_streaming_services,cable_provider,search_history_summary,rating_history,promotion_type,conversion_ind,ltv
74,U,"164 Gonzalez Common, Brittanyberg, FL 32854",grad_high_school,government,10,1,1.0,2019.0,"['bsb', 'fb', 'fb', 'fb', 'c']",1,9.1,5.2,maincard,2018-01-17,3,Fish Network,"['majorwrestlingmagazine.com', 'firstwildlifeclips.com', 'QSRpoliticsreport.com', 'nationaltech.com', 'actiontech.com', 'nationalcampingreport.com']",,bronze,0.0,0.0
51,U,"23531 Christopher Points Unit 185, Lake Danielle, TX 77707",phd,healthcare,7,0,2.0,2013.0,"['c', 'bsb', 'fb', 'c', 'c', 'bxb', 'fb', 'c', 'c', 'fb']",0,27.45,247.43,maincard,2020-05-16,2,Cheezeline,"['totaltechnews.com', 'firstoutdoorreport.com', 'dailywrestlingnews.com', 'majorcampingmagazine.com', 'majorfurnituremagazine.com']",,bronze,1.0,3147.8989303861276
42,U,"90970 Aguirre Isle Apt. 387, South Laurastad, PA 17230",grad_high_school,service,7,1,4.0,2011.0,"['c', 'fb', 'fb', 'fb', 's', 's', 'fb', 'fb', 'c', 'bxb']",0,63.63,69.45,passport,,5,Spectral,"['totalpoliticsclips.com', 'dailyfinancenews.com', 'premierbooksmagazine.com', 'majorwrestlinginfo.com', 'majorwrestlingreport.com', 'recipesnews.com', 'actionwrestlingmagazine.com']",,bronze,0.0,0.0
61,U,"17916 Stacey Freeway, West Laura, CA 94036",grad_college,retail,8,1,0.0,,"['bsb', 'c', 'fb', 'fb', 'c', 'bsb', 'bsb', 'fb', 'bsb', 'c']",0,23.16,482.98,passport,2017-08-24,2,nan,"['majorfurniturenews.com', 'actionmarketmagazine.com', 'dailymarketclips.com']",,gold,1.0,1569.6133674361047
48,S,"052 Carla Plaza Apt. 039, Taylorhaven, CA 92901",masters_professional,education,6,1,2.0,2021.0,"['fb', 'fb', 'c', 'fb', 'fb', 'bxb', 's', 'bxb', 'fb', 'fb']",1,,170.83,pursuit,2022-08-23,2,nan,"['UBCbooksreport.com', 'politicsreport.com', 'premierfurnitureclips.com', 'dailytechclips.com', 'actionoutdoor.com', 'dailywrestlerclips.com', 'premiertechmagazine.com']",,silver,1.0,3411.585503411081
55,U,"3182 Jessica Ridges Apt. 925, Meyersland, MO 63110",some_college,retail,13,0,4.0,2021.0,"['fb', 'c', 'bsb', 'fb']",0,32.73,117.4,SLAMEX,,1,nan,"['QSRmarket.com', 'totalfurnitureinfo.com', 'dailyfinanceclips.com']",,gold,1.0,1866.3229511665438
62,U,"15260 Mckinney Island Unit 871, West Steven, CA 93215",some_college,childcare,5,1,9.0,2013.0,"['fb', 'fb', 'c', 'bxb', 'bsb', 'c', 'c', 'bsb', 'c']",0,10.59,97.1,maincard,2020-05-30,2,nan,"['firstfurnitureclips.com', 'globalpoliticsclips.com', 'UBCpoliticsmagazine.com', 'majorwildlifeinfo.com', 'QSRbooksreport.com']",,bronze,1.0,1749.792186763402
56,S,"606 Lopez Extensions Apt. 892, South Oliviamouth, CA 94977",some_college,service,9,1,18.0,2019.0,"['c', 'c', 'bsb', 'fb', 'bsb', 'p', 's', 's', 'p', 'c']",1,8.5,161.96,passport,2021-10-18,4,Fish Network,"['UBCmarketinfo.com', 'dailywrestlingreport.com', 'firstsportsclips.com', 'dailycampingmagazine.com', 'globalcamping.com', 'firstoutdoorinfo.com', 'actionrecipesmagazine.com']",,gold,1.0,2964.57437560353
23,S,"05146 Shannon Plaza Apt. 280, Clintontown, IL 62702",grad_high_school,service,3,1,0.0,,,0,,312.14,SLAMEX,2018-09-29,1,Spectral,"['QSRwrestlingclips.com', 'firstoutdoorinfo.com', 'UBCtechclips.com']",,silver,0.0,0.0
77,S,"811 Wolf Mountain, Gabrielleland, CA 91943",some_college,none,9,1,2.0,2014.0,"['fb', 'c', 'fb', 'fb', 's']",0,,264.65,SLAMEX,2022-04-20,2,Fish Network,"['majorwrestlerclips.com', 'QSRcampingclips.com', 'actionwrestler.com']",,gold,1.0,1114.1152958324503
29,U,"6519 Lisa Plaza Unit 097, West Karenside, AL 36858",grad_high_school,childcare,9,0,1.0,2020.0,"['bsb', 'bxb', 'fb', 'c', 'fb', 'bxb', 'bxb', 'fb', 'fb', 'c']",0,0.88,375.26,SLAMEX,,1,DefecTV,"['recipesinfo.com', 'majorsportsreport.com', 'dailywrestler.com', 'totalwildlifereport.com', 'premieroutdoorreport.com']",,silver,1.0,1805.5083225182336
29,S,"691 Rosario Course, New Taylorfort, TX 77633",grad_high_school,,9,1,0.0,,"['fb', 'fb', 'fb']",0,,1.7,maincard,,2,Fish Network,"['outdoor.com', 'globalfinanceinfo.com']",,gold,1.0,612.8522393146768
37,U,"739 Robert Plain, Kevinberg, TX 78716",grad_high_school,business,5,0,0.0,,"['bxb', 'fb', 'fb', 'bsb']",0,3.71,24.36,maincard,2019-01-04,5,nan,"['actionpoliticsclips.com', 'firstfinanceclips.com', 'dailybooksnews.com', 'nationalfurniture.com']",,gold,0.0,0.0
60,U,"9682 Soto Stream, South Andreamouth, CA 93432",grad_high_school,none,9,1,34.0,2021.0,"['fb', 'fb', 'fb', 'c', 'bsb', 's', 'c', 'fb']",0,7.02,31.75,maincard,,5,Spectral,"['globalfinancenews.com', 'totaloutdoor.com']",,bronze,1.0,2406.456332376556
53,S,"16008 Patricia Light, Lake Adam, FL 34643",grad_college,retail,9,1,0.0,,['p'],0,,,,,2,Spectral,"['actionwildlifeclips.com', 'firstoutdoornews.com', 'nationalmarketmagazine.com']",,bronze,0.0,0.0
28,U,"14009 Travis Light, Finleyfurt, VA 24150",some_college,,5,1,9.0,2014.0,"['fb', 'fb', 'fb', 'fb', 'fb', 'bsb', 'c', 'bxb', 's', 'bsb']",0,6.9,356.57,passport,,3,Spectral,"['majorrecipesnews.com', 'globalfurnitureclips.com']",,gold,1.0,2303.7990614590917
31,U,"370 Mcclain Flat, Joanville, TX 76949",grad_high_school,service,10,1,12.0,2010.0,"['s', 'bsb', 'fb']",0,0.43,,,2016-09-03,1,Infinity,"['majorrecipesreport.com', 'actionmarketreport.com', 'globaltechmagazine.com']",,gold,0.0,0.0
